race,rent_monthly,monthly_income_gross,income_verified,income_stability,savings_buffer_months,guarantor_available,verified_rental_debt_flag,credit_score,rent_history_reported,rent_on_time_rate_12m,rent_late_or_nsf_count_12m,utility_on_time_rate_12m,approved
White,3088.1,7282.08,1,0.6744,1.01,0,0,629,0,,,,1
Asian,3529.8,8626.12,1,0.4955,0.73,0,0,670,1,0.9079,2.0,,0
White,2559.38,6347.47,1,0.7114,1.35,0,0,623,0,,,0.8945,1
White,1644.54,5133.62,0,0.6795,2.84,1,0,717,1,0.9681,0.0,,1
White,3029.04,7402.72,1,0.6912,1.32,0,0,665,1,0.9475,0.0,,1
White,2502.27,7570.14,0,0.7611,2.65,0,0,777,1,0.9485,0.0,,1
Other,2889.61,6525.1,1,0.7449,3.4,0,0,691,1,0.9511,0.0,0.9661,1
White,1230.48,3125.33,1,0.8149,0.59,1,0,652,1,0.9092,2.0,0.9313,1
Asian,1401.75,3873.46,1,0.8778,3.3,1,0,638,1,0.9768,2.0,,1
White,1904.42,4723.07,1,0.8232,1.75,0,0,576,1,0.8226,1.0,,1
White,2383.13,6831.38,1,0.6583,6.16,0,0,682,1,0.8892,0.0,0.8563,1
White,1861.68,5161.29,1,0.7886,1.71,0,0,645,1,0.9895,1.0,0.9332,0
White,2348.48,7741.25,1,0.6288,1.17,0,0,670,0,,,0.917,1
Other,3272.5,8239.93,1,0.8189,2.46,0,0,596,1,0.9764,0.0,0.9645,1
Indigenous,2716.61,7911.9,1,0.6895,2.55,0,1,631,1,0.9238,1.0,0.8495,1
Asian,2152.59,7929.56,1,0.4604,6.96,0,0,664,1,0.9376,2.0,,1
White,1500.03,3617.24,1,0.9613,1.51,0,1,698,1,0.8376,1.0,0.9044,1
White,1554.87,6156.95,1,0.8745,1.69,1,0,636,1,0.9265,4.0,0.7502,1
Other,1763.54,4203.95,0,0.9569,1.32,0,0,696,1,0.976,0.0,,1
White,838.42,2919.71,1,0.859,2.2,0,0,650,1,0.9751,0.0,0.8611,1
White,1577.34,4702.26,1,0.6826,1.69,1,0,644,0,,,,1
White,3547.63,8267.37,1,0.7727,1.7,1,0,650,1,0.9541,2.0,0.8994,1
Indigenous,1616.04,6109.95,1,0.7359,5.01,1,0,702,0,,,,1
Asian,4081.89,10536.99,1,0.9231,1.29,0,0,607,1,0.9697,1.0,0.9878,1
Indigenous,2048.92,5532.77,0,0.6872,2.47,0,1,670,0,,,0.8885,0
Indigenous,5000.0,12248.33,0,0.755,4.8,0,0,620,0,,,,1
White,1708.52,5533.34,1,0.8241,1.51,0,0,677,1,0.9507,0.0,0.8852,1
Other,2249.88,5241.08,1,0.7731,1.72,1,0,654,1,0.9345,2.0,0.9266,1
White,1348.74,3323.01,1,0.756,1.8,0,0,656,1,0.9472,1.0,0.9259,1
Asian,2797.25,7670.3,1,0.4698,0.79,0,0,627,1,0.9083,1.0,,1
White,1684.49,4361.93,1,0.772,1.61,0,0,616,1,0.9344,1.0,0.8235,1
Other,1464.84,4146.2,1,0.5683,0.75,0,0,734,1,0.8714,2.0,0.8967,1
White,3028.95,8142.44,1,0.5863,5.98,0,0,666,1,0.939,1.0,,1
White,2135.93,7799.32,1,0.58,1.4,0,0,626,1,0.8934,1.0,0.9127,1
White,2765.45,7728.2,1,0.5177,3.42,1,0,670,0,,,0.8198,1
White,1709.63,4580.88,1,0.869,2.15,1,0,664,1,0.8559,3.0,0.9904,1
White,1660.6,5108.05,1,0.7522,1.02,0,0,694,1,0.9884,0.0,0.8566,1
Asian,1676.02,5092.2,1,0.8725,1.58,0,0,558,1,0.7682,5.0,0.9304,1
White,2124.59,6838.31,1,0.4381,1.23,0,0,705,1,0.9875,2.0,0.9393,1
Other,3174.91,8956.74,1,0.7569,1.11,1,0,651,1,0.975,1.0,0.7979,1
White,2223.58,5915.11,0,0.6436,1.28,0,0,616,1,0.9222,3.0,0.9032,1
Asian,4703.94,10379.89,1,0.7423,2.41,1,0,607,0,,,0.9417,1
White,2785.88,7118.36,1,0.7345,2.56,0,0,606,0,,,,1
Asian,1956.76,4789.75,1,0.7428,2.5,1,0,701,1,0.9562,1.0,,1
Asian,2063.79,6949.76,1,0.6934,2.41,0,0,609,1,0.7868,2.0,,1
White,4260.64,9447.38,1,0.8052,2.54,0,0,730,0,,,0.9631,1
Other,3648.81,10465.25,1,0.911,1.27,0,0,677,1,0.9226,1.0,,1
White,2696.03,7877.97,0,0.8773,2.87,1,0,690,1,0.9558,0.0,0.988,1
White,1489.99,5246.94,1,0.5982,1.05,0,0,654,0,,,0.9901,1
Asian,1343.23,4820.2,1,0.848,1.34,0,0,665,1,0.9547,0.0,,1
Black,2640.92,6361.62,0,0.6723,0.43,0,0,680,1,0.8871,2.0,,0
White,2848.29,9342.27,1,0.8854,0.96,0,0,636,1,0.9127,1.0,0.8902,1
White,1717.0,6052.54,1,0.9233,2.53,0,0,660,1,0.9609,1.0,,1
Black,1853.23,6096.68,0,0.8396,2.7,0,0,695,1,0.8588,0.0,,1
Asian,2242.54,5294.39,1,0.8842,3.89,0,0,703,1,0.9082,2.0,,1
Other,1626.57,4636.21,1,0.904,0.99,0,0,747,1,0.9517,1.0,0.7519,1
White,2149.88,4913.13,1,0.771,1.07,1,0,642,1,0.872,1.0,0.9712,1
Asian,2266.61,5452.41,1,0.4917,0.82,0,0,701,1,0.9848,1.0,0.9044,1
White,4083.14,9487.68,0,0.7805,2.57,1,0,599,1,0.8974,1.0,0.9785,1
Other,1328.93,4781.52,1,0.9254,0.9,0,0,717,1,0.9399,2.0,0.9763,1
White,1455.68,5296.64,1,0.6525,3.82,0,0,639,0,,,0.8484,1
Asian,1228.99,3841.17,1,0.5638,1.29,0,0,683,1,0.8294,0.0,0.9532,1
White,2052.19,6682.42,1,0.7588,1.84,1,0,659,1,0.7757,1.0,0.8975,1
Asian,3431.08,8389.63,1,0.851,2.14,0,0,670,1,0.811,0.0,,1
Asian,2601.55,9181.89,1,0.8321,3.83,0,0,647,1,0.925,1.0,0.9967,1
White,1672.33,5583.61,1,0.7745,5.02,1,0,619,0,,,0.9109,1
Other,2644.53,6357.8,1,0.7266,2.34,1,0,713,1,0.9355,0.0,,1
White,1536.02,4927.92,0,0.9624,2.93,1,0,661,1,0.925,0.0,0.9088,1
Asian,1564.59,6255.53,1,0.395,0.96,0,0,657,1,0.9356,0.0,0.8529,1
White,1688.51,5803.99,0,0.6756,4.71,1,0,659,1,0.943,2.0,0.879,1
White,2232.37,5307.13,1,0.8783,3.02,1,0,677,1,0.9842,1.0,0.9564,1
White,1518.52,5456.85,1,0.8713,7.99,0,0,647,1,0.8931,1.0,0.9099,1
White,1667.05,6091.12,0,0.6142,1.93,0,0,674,1,0.9252,0.0,0.8835,1
White,1499.46,4691.28,0,0.9168,1.06,0,0,697,1,0.9623,0.0,0.8684,1
Asian,1781.59,4776.87,1,0.7274,1.51,0,0,610,0,,,0.9128,1
Asian,2705.73,9452.08,1,0.661,3.77,0,0,639,1,0.9748,1.0,,1
Asian,3506.3,13428.11,0,0.8245,4.75,0,0,669,1,0.8782,2.0,0.8851,1
White,1559.09,3411.43,1,0.7878,5.99,0,0,705,1,0.9797,0.0,,1
White,1482.78,3346.26,1,0.8141,1.12,1,0,679,1,0.9782,0.0,0.8857,1
White,1228.51,3719.75,1,0.8241,0.65,0,0,670,1,0.9723,0.0,0.9284,1
Indigenous,1459.53,5015.37,0,0.7376,1.76,0,0,673,0,,,0.9482,1
Black,2001.11,7114.83,1,0.9377,0.95,0,0,646,1,0.9617,0.0,0.5902,1
White,2646.06,6395.52,1,0.6766,3.43,1,0,643,1,0.9439,0.0,,1
Asian,1616.21,5522.71,0,0.7338,1.69,0,0,638,1,0.9072,1.0,0.9544,1
White,2720.25,6257.53,1,0.4678,1.56,1,0,588,1,0.9022,0.0,,1
White,1513.92,4081.35,0,0.8921,1.56,0,0,747,1,0.9174,0.0,0.9629,1
White,1838.0,4774.15,1,0.5027,1.45,0,0,599,0,,,0.8747,1
White,1536.71,5163.56,1,0.7223,0.65,1,0,677,1,0.8458,2.0,,1
Asian,1180.9,2986.74,1,0.6396,1.01,1,0,690,1,0.9309,0.0,0.9715,1
Other,1527.12,3463.22,1,0.9103,2.99,0,0,678,1,0.9498,2.0,0.9662,0
White,1459.31,3511.74,1,0.626,0.86,1,0,723,1,0.8595,0.0,,0
White,1652.29,6794.38,0,0.8468,2.92,0,0,647,1,0.8901,4.0,0.9168,1
Asian,2168.85,5666.28,1,0.7564,2.09,0,0,686,1,0.9675,0.0,,1
Other,2595.94,6440.01,1,0.8598,3.78,0,0,715,1,0.942,2.0,0.8905,1
Asian,1194.73,2731.3,1,0.643,1.94,1,0,572,1,0.8724,2.0,0.6246,1
White,1213.91,3093.83,1,0.816,1.06,0,0,699,1,0.8592,1.0,,1
Asian,2593.53,6558.65,1,0.6684,1.03,0,0,660,1,0.9146,2.0,0.8491,1
White,650.0,1966.24,1,0.5622,0.49,1,0,642,0,,,0.9089,0
Other,3136.97,7982.72,1,0.8204,1.13,0,0,651,1,0.9726,3.0,0.891,1
White,1112.59,2746.97,1,0.8509,1.65,0,0,684,1,0.937,1.0,,1
Asian,2501.97,6985.45,1,0.7642,4.06,0,0,673,1,0.9768,0.0,0.9659,1
White,1175.27,3810.09,1,0.7355,3.0,0,0,624,1,0.921,2.0,0.9207,1
White,1978.26,7506.54,1,0.7584,1.52,0,0,667,1,0.9511,2.0,0.872,1
Black,5000.0,15982.83,1,0.6698,0.9,0,0,696,1,0.9373,1.0,,1
Asian,1018.15,2346.79,0,0.9032,2.62,0,0,641,0,,,,1
White,1667.43,6632.89,1,0.7786,1.19,0,0,707,1,0.9756,0.0,,1
Other,939.01,2761.58,1,0.6768,0.91,0,0,670,0,,,0.9757,1
Black,2857.3,6037.73,0,0.4629,2.64,0,0,686,1,0.8986,1.0,0.969,1
White,1798.5,4836.97,1,0.6982,1.01,0,0,708,1,0.966,0.0,0.99,1
White,1676.28,5441.65,0,0.8616,3.31,0,0,697,1,0.9104,0.0,0.9104,1
White,1186.52,3779.41,1,0.7058,0.51,1,0,672,1,0.9405,2.0,0.906,1
Asian,2342.56,6833.58,0,0.5861,1.0,0,0,598,1,0.9397,1.0,0.9596,1
White,955.44,3132.19,0,0.8468,0.96,0,0,660,1,0.9518,0.0,0.9549,1
White,3204.88,8030.38,0,0.7024,3.13,0,0,636,0,,,0.9808,1
Other,1693.33,4506.05,1,0.9677,1.88,0,0,674,0,,,0.9571,1
Other,1265.87,3182.66,0,0.8726,3.07,1,0,645,1,0.9404,2.0,0.9476,1
Black,3314.83,9087.38,1,0.8465,0.82,0,0,679,0,,,0.9028,1
Other,1249.32,5078.87,1,0.7863,3.01,0,0,728,1,0.9655,1.0,0.9189,1
Asian,3074.65,10138.41,1,0.5442,2.83,1,0,763,1,0.9556,0.0,0.9639,1
Indigenous,2438.21,7973.58,1,0.929,1.02,0,0,667,0,,,,1
Indigenous,1110.76,3932.63,0,0.6197,1.08,1,0,639,1,0.941,2.0,0.9578,1
White,2232.33,5047.6,0,0.5781,1.1,0,0,691,1,0.9198,0.0,0.8534,1
White,1601.82,5425.02,1,0.797,5.29,0,0,690,1,0.936,2.0,,1
White,3464.26,8871.69,1,0.8475,1.78,0,0,624,1,0.9156,0.0,0.9313,1
Asian,1645.58,6060.48,1,0.5252,0.74,0,0,706,1,0.9509,2.0,0.9591,1
White,1741.57,5530.96,1,0.9145,1.05,1,0,662,1,0.9726,1.0,0.9126,1
White,1510.7,4848.65,0,0.8336,7.22,0,0,652,0,,,,1
Asian,2063.55,5108.8,1,0.7696,2.08,0,0,648,1,0.9485,0.0,,1
White,3454.23,8209.29,0,0.7095,1.64,0,0,682,0,,,0.8866,1
White,2044.82,5206.75,1,0.7247,0.5,0,0,580,0,,,,1
Indigenous,1139.75,4528.59,1,0.5766,0.95,0,0,673,1,0.9521,1.0,0.8502,1
Black,1291.97,4267.73,1,0.6528,3.85,0,0,657,1,0.9052,0.0,0.9761,1
White,1886.99,4283.8,1,0.7427,2.14,0,0,722,1,0.9938,0.0,0.9808,1
White,1105.34,3183.32,0,0.5888,0.97,0,0,630,0,,,0.9139,1
White,1115.21,3998.93,0,0.5945,6.89,1,0,723,1,0.9709,1.0,0.8999,0
Indigenous,2411.11,8785.53,0,0.6805,2.1,0,0,679,1,0.971,0.0,,1
Black,1335.58,4837.26,0,0.7224,7.9,1,0,692,1,0.9345,1.0,0.8989,1
White,2932.86,6653.9,1,0.913,0.82,0,0,691,1,0.9121,1.0,0.8793,1
Indigenous,826.26,2183.86,1,0.7231,0.64,1,0,677,1,0.9456,2.0,,1
White,2346.36,6344.37,0,0.5273,1.77,1,0,699,1,0.93,0.0,0.8752,1
White,2112.96,4914.48,1,0.9413,0.51,0,0,630,1,0.9541,0.0,,1
Other,1453.89,4393.62,0,0.8635,1.39,1,0,671,1,0.9818,0.0,0.9773,1
White,2301.38,5540.0,1,0.7499,2.72,0,0,643,1,0.9342,2.0,0.9526,1
White,1279.46,4371.56,0,0.629,2.51,0,0,701,1,0.9653,1.0,0.9255,1
White,738.29,2472.68,1,0.8135,2.07,0,0,733,1,0.9819,0.0,,1
Asian,2172.4,7181.05,0,0.7673,0.99,0,0,680,1,0.8847,0.0,,1
Other,1900.24,5661.65,1,0.6861,3.36,0,0,665,1,0.9108,0.0,,1
Other,1540.5,4658.9,1,0.6228,1.63,0,0,690,1,0.9709,0.0,0.9488,1
White,1529.93,3708.0,0,0.9369,0.24,0,0,690,1,0.9708,1.0,0.9136,1
White,1426.42,3108.71,1,0.4582,0.87,0,0,670,1,0.8962,0.0,0.9824,1
Indigenous,2106.51,5623.88,1,0.483,0.88,1,0,622,0,,,0.8847,1
White,2639.98,9146.42,1,0.6292,3.73,0,0,604,0,,,0.9398,1
Black,2504.34,5583.23,1,0.7161,0.87,1,0,610,0,,,0.9193,1
Asian,999.59,3204.94,1,0.7399,2.44,1,0,605,0,,,0.9638,1
White,2406.46,5626.29,1,0.6993,0.38,1,0,652,1,0.9126,3.0,0.8528,1
Black,1933.48,5103.82,1,0.6126,2.67,0,0,648,1,0.9296,1.0,,0
White,2602.6,7036.24,1,0.6633,0.49,1,0,667,0,,,0.9662,1
White,2358.87,6430.26,0,0.7679,3.65,0,0,601,1,0.9225,0.0,0.8434,1
Asian,727.16,1828.73,1,0.578,1.63,0,0,648,1,0.9153,0.0,0.8867,1
White,2492.93,6293.35,1,0.8539,3.06,1,0,686,1,0.985,0.0,,1
Asian,976.61,3659.92,1,0.8875,1.56,1,0,697,1,0.9785,0.0,0.9001,1
Asian,1400.25,3161.52,1,0.7183,1.12,0,0,648,0,,,,1
Other,1552.25,4868.05,0,0.7965,0.47,0,0,710,1,0.9117,0.0,,1
Other,1905.35,6004.44,1,0.4839,0.33,0,0,697,0,,,0.9141,0
White,1475.22,2928.24,1,0.5589,1.1,0,0,643,1,0.8237,3.0,,1
White,2848.11,6654.28,1,0.8107,1.82,0,0,649,0,,,0.881,1
Asian,2464.83,6792.56,0,0.8026,0.68,0,0,702,1,0.944,0.0,,1
Other,1572.48,5286.2,1,0.898,5.82,0,0,677,1,0.9321,0.0,0.9166,1
White,1374.14,3838.15,1,0.9162,4.22,0,0,687,0,,,0.8934,1
White,1167.44,3690.92,1,0.4428,1.62,0,0,644,0,,,0.8751,1
White,2597.6,7446.43,0,0.7403,4.58,0,0,668,1,0.95,1.0,,1
White,983.39,3064.03,1,0.5844,1.65,0,0,653,1,0.8172,2.0,0.9726,1
Asian,3282.69,7547.55,1,0.3358,0.69,1,0,653,1,0.9142,0.0,0.9276,1
White,1325.43,4907.86,0,0.7911,1.46,0,0,730,1,0.9581,1.0,,0
Indigenous,1561.45,5028.47,1,0.7064,2.84,1,0,618,1,0.9767,2.0,0.9812,1
Black,970.38,2860.02,1,0.9333,0.99,0,0,632,1,0.921,1.0,,1
Indigenous,1218.94,4939.72,1,0.9908,5.05,0,0,732,1,0.9905,0.0,0.9593,1
White,2208.17,6445.7,0,0.863,1.23,0,0,738,1,0.9802,1.0,,1
White,962.8,3257.35,1,0.7789,3.09,0,0,715,0,,,,1
Asian,2078.02,6191.52,1,0.576,1.55,1,0,661,1,0.9736,1.0,0.8519,0
Indigenous,1661.43,5364.55,0,0.9361,0.92,0,0,642,0,,,,1
White,1452.47,4150.98,1,0.6779,0.62,0,0,656,0,,,0.9797,1
Black,3056.3,7013.2,1,0.5927,3.32,1,0,661,0,,,,1
White,905.76,2405.77,1,0.9363,2.27,0,0,683,0,,,,1
Black,1891.37,5870.84,1,0.8964,1.04,0,0,661,0,,,0.9812,1
White,2481.82,9165.63,1,0.8329,3.36,0,0,774,1,0.9906,1.0,,1
White,2388.97,8607.54,1,0.8109,1.08,1,0,706,1,0.9576,2.0,0.8142,1
White,2295.82,5960.12,0,0.8519,2.19,1,0,708,1,0.9084,1.0,,1
White,1842.93,4678.93,1,0.6065,2.44,1,0,659,1,0.9713,0.0,0.9825,1
White,1064.14,4162.55,0,0.7401,6.38,0,0,677,0,,,0.9941,1
White,1567.15,4676.9,1,0.6174,6.15,0,0,719,1,0.9688,1.0,0.9104,1
White,2022.31,6290.19,1,0.962,1.1,0,0,625,1,0.7112,4.0,0.8959,1
Indigenous,1400.98,3920.12,1,0.8602,0.91,1,0,586,0,,,0.9925,1
White,3208.95,6778.51,1,0.6984,2.05,0,0,612,1,0.8748,3.0,,1
Asian,3454.13,10971.1,1,0.8503,3.64,0,0,647,1,0.9428,1.0,0.9674,1
Indigenous,1469.6,5088.58,1,0.914,0.31,0,0,640,0,,,0.9669,1
White,1073.81,3248.26,1,0.6637,5.24,1,0,673,1,0.9858,1.0,,1
White,924.09,3247.87,1,0.7501,1.3,0,0,774,1,0.86,0.0,,1
Black,1917.73,6824.07,1,0.8607,3.54,0,0,629,0,,,0.8949,1
Indigenous,1478.97,5092.39,0,0.7662,1.31,1,0,648,0,,,0.8339,1
White,2356.99,7067.8,1,0.9047,4.91,0,0,668,0,,,,1
Indigenous,1230.14,4314.09,1,0.691,1.29,0,0,680,1,0.9504,1.0,0.9883,1
White,2747.73,6954.42,1,0.9681,2.92,0,0,737,1,0.9183,1.0,,1
White,1758.74,4919.73,1,0.7748,1.84,0,0,672,1,0.8503,1.0,,1
Asian,1188.08,4024.02,1,0.959,0.66,0,0,670,1,0.9177,0.0,0.8953,1
White,1789.42,4519.08,1,0.9409,1.25,0,0,636,0,,,0.9717,1
Indigenous,943.69,3420.17,1,0.9876,0.26,1,0,728,1,0.987,0.0,,1
White,4421.27,10432.59,1,0.8305,1.11,0,0,693,0,,,,1
Indigenous,2227.7,5027.51,0,0.8536,2.38,0,0,689,1,0.8687,0.0,0.9757,1
White,2167.12,6515.86,1,0.9588,4.75,0,0,629,0,,,0.9287,1
White,1208.98,4309.21,1,0.4215,1.77,0,0,627,0,,,,1
White,1576.56,3598.38,0,0.721,7.71,1,0,669,0,,,0.865,1
White,1540.88,4791.29,1,0.6981,3.89,1,0,697,1,0.7375,0.0,,1
Indigenous,2065.85,7645.18,1,0.825,0.95,1,0,677,1,0.919,3.0,,1
White,1910.2,4333.62,1,0.6596,1.87,0,0,668,1,0.9211,0.0,0.8161,1
White,1367.76,3834.24,0,0.7879,2.72,0,0,653,1,0.9169,2.0,0.9685,1
White,2231.08,5490.78,1,0.5006,1.33,0,0,589,1,0.9159,2.0,0.8839,1
White,2432.83,6192.36,1,0.45,2.36,0,0,726,1,0.9496,0.0,0.923,1
Indigenous,4001.19,9241.05,0,0.9125,1.16,0,1,642,1,0.9796,1.0,0.9509,1
White,2373.97,5885.38,1,0.8046,1.83,0,0,729,1,0.9616,0.0,,1
Other,2686.78,6514.67,0,0.6184,4.37,1,0,651,0,,,,0
White,2398.6,6688.6,0,0.899,1.24,1,0,764,1,0.9722,0.0,0.9495,1
Asian,1811.69,3473.29,1,0.9046,0.49,1,1,714,1,0.951,1.0,0.9031,1
White,1625.18,3711.71,1,0.717,6.3,0,0,678,1,0.9004,1.0,,1
White,1580.44,3558.34,1,0.8345,3.38,0,0,648,0,,,0.9632,0
Black,1476.67,3262.22,1,0.4679,2.63,0,0,650,1,0.9281,1.0,0.8737,1
Other,2722.94,6869.35,1,0.8276,5.13,0,0,668,1,0.9429,2.0,,1
Black,1952.89,5755.62,1,0.7109,3.53,0,0,687,1,0.971,0.0,,1
White,2293.65,5346.71,0,0.888,1.32,0,0,635,1,0.9498,0.0,0.9234,1
White,650.0,2098.47,0,0.629,6.25,0,0,727,1,0.9741,1.0,0.9647,1
Asian,2964.11,10676.83,1,0.6323,2.37,0,0,611,1,0.878,5.0,0.969,1
White,1272.17,3802.52,1,0.5654,3.15,0,0,643,1,0.9393,3.0,0.9617,1
Asian,4153.42,10663.14,0,0.8379,0.35,0,0,584,0,,,0.9133,1
Asian,1272.99,3131.22,1,0.6607,0.77,0,0,632,0,,,,1
Asian,1144.61,3913.05,1,0.6544,0.62,1,0,686,1,0.9206,2.0,0.895,1
Indigenous,879.68,2405.27,1,0.5951,0.58,0,0,659,1,0.9482,0.0,0.9475,1
Asian,1751.08,5902.66,0,0.9259,2.79,0,0,625,1,0.9209,2.0,,1
White,1080.29,3536.79,1,0.7073,0.92,0,0,651,1,0.9229,2.0,,1
White,882.56,3571.94,1,0.8116,2.29,0,0,681,1,0.9558,1.0,0.8439,1
Asian,1147.03,3216.45,1,0.6186,3.46,0,0,705,1,0.9219,1.0,,1
White,2187.63,6825.96,1,0.7792,1.09,0,0,740,1,0.9962,0.0,,1
White,2237.7,6670.34,1,0.617,0.9,1,0,679,1,0.9782,1.0,0.9372,1
White,3279.17,9804.78,1,0.851,0.37,1,0,605,1,0.8406,1.0,0.8929,1
Indigenous,1432.52,4090.48,1,0.8355,4.17,0,0,660,1,0.9723,1.0,,1
Indigenous,2418.01,5613.9,0,0.6497,1.13,0,0,688,1,0.8494,1.0,,1
Asian,698.51,3311.47,1,0.7747,5.33,1,0,628,1,0.9148,1.0,,1
White,1562.7,4624.62,0,0.5641,2.59,0,0,646,1,0.7136,1.0,0.9157,1
White,1739.54,4336.48,1,0.8266,4.62,0,0,766,1,0.9475,0.0,0.7763,1
White,1512.71,6117.88,1,0.3032,0.53,1,0,707,1,0.9426,1.0,,1
White,3149.71,7423.24,0,0.909,3.05,0,0,704,1,0.978,0.0,0.9775,1
Asian,3296.71,7356.12,1,0.6783,3.12,1,0,675,1,0.7791,2.0,,1
Asian,1688.85,3871.63,1,0.9478,4.01,1,0,670,1,0.817,0.0,0.9468,1
White,3201.1,7375.2,1,0.9021,0.95,1,0,663,1,0.9577,1.0,0.9609,1
White,1794.08,5120.38,1,0.8794,1.18,0,0,675,1,0.9633,2.0,,1
White,1461.19,4641.56,1,0.8451,4.08,0,0,629,1,0.9586,2.0,0.9014,1
Black,1074.35,4057.96,0,0.6713,0.43,0,0,600,0,,,,1
Asian,1174.91,4274.56,0,0.9034,0.84,1,0,669,1,0.9019,0.0,0.9401,1
White,2930.33,9568.42,1,0.7794,3.0,0,0,621,0,,,,1
Black,2058.6,5790.7,0,0.614,1.31,0,0,620,0,,,0.8763,1
White,2038.39,5527.71,1,0.6911,1.5,0,0,647,1,0.9486,0.0,0.9116,1
White,1380.62,4743.96,1,0.8426,0.15,0,0,673,1,0.9848,1.0,,0
Other,4788.84,12240.51,1,0.7065,5.05,1,0,647,1,0.9854,2.0,,1
White,2395.63,8210.49,0,0.8415,1.4,1,0,672,1,0.8888,0.0,0.8925,1
White,1302.33,4040.17,1,0.7317,2.86,0,0,622,0,,,0.9154,1
Asian,1456.84,4725.12,0,0.9699,4.16,0,0,621,0,,,0.782,1
White,1953.76,4824.34,1,0.9891,1.47,1,0,638,0,,,0.871,1
Asian,2065.5,5472.38,1,0.7386,0.23,0,0,625,1,0.9415,0.0,0.8552,1
White,1694.74,4068.32,1,0.7156,2.89,0,0,654,1,0.951,0.0,0.899,1
White,1702.15,6063.24,0,0.9906,5.14,0,0,731,1,0.9642,0.0,0.9744,1
White,2943.83,8644.21,0,0.8605,3.3,0,0,702,1,0.9194,0.0,,1
White,1360.43,3283.43,1,0.7208,2.5,0,0,695,1,0.9946,0.0,0.9117,1
White,777.21,3503.66,1,0.6463,3.29,0,0,572,1,0.7718,2.0,0.9512,1
White,1308.59,4390.98,1,0.7921,3.62,1,0,614,1,0.8886,2.0,0.9727,1
Black,1407.92,4462.82,0,0.4786,1.76,1,0,636,0,,,0.9658,1
White,2762.57,10465.89,1,0.7915,5.22,1,0,702,1,0.9665,0.0,0.8772,1
White,2745.99,7383.57,1,0.8028,2.16,0,0,635,1,0.8691,1.0,0.8251,0
White,2011.03,7236.74,1,0.8692,3.78,1,0,670,1,0.8874,2.0,,1
White,1866.71,4740.44,1,0.8223,0.79,0,0,671,1,0.9608,1.0,0.9368,1
White,1826.92,4704.17,1,0.7979,1.83,0,0,659,1,0.7853,2.0,0.9304,1
Asian,910.6,3128.53,0,0.6369,0.99,0,1,668,1,0.898,2.0,,0
White,2098.51,6836.44,1,0.4816,2.66,1,0,712,1,0.9368,0.0,,1
Black,2710.35,6175.12,1,0.8636,0.73,1,0,667,1,0.9598,2.0,0.9424,1
Other,2830.89,8156.03,1,0.4659,3.31,0,0,627,0,,,,1
White,1875.29,4830.11,1,0.5581,2.82,0,0,691,1,0.8458,0.0,,1
White,1430.8,4948.26,1,0.9418,1.64,0,0,671,1,0.9527,2.0,0.916,1
White,2294.26,5518.88,1,0.7251,3.52,0,0,691,1,0.9952,1.0,,1
Asian,3117.62,7105.17,1,0.7999,0.79,0,0,690,1,0.9918,2.0,0.9818,1
White,906.28,3108.32,1,0.5875,3.29,0,0,733,1,0.9854,0.0,,1
Black,2860.77,6728.0,1,0.9437,0.87,0,0,693,1,0.9652,1.0,,1
Indigenous,1838.08,5162.83,1,0.9602,1.13,1,0,682,0,,,0.8624,1
Indigenous,1565.95,3589.94,0,0.9043,4.17,0,0,564,0,,,,1
White,687.02,2506.9,1,0.8826,4.23,0,0,694,1,0.9101,0.0,0.9429,1
Other,1754.58,4957.46,1,0.8178,2.64,1,0,735,1,0.9554,0.0,0.9215,1
White,2397.09,8630.98,0,0.65,7.6,0,0,689,1,0.9832,4.0,,1
White,4035.14,9344.6,0,0.6958,5.55,0,0,644,1,0.9683,1.0,0.9388,0
White,1553.62,5888.73,1,0.7999,1.63,0,0,622,1,0.9064,3.0,0.9619,1
Other,2898.85,10333.19,1,0.8908,0.86,1,0,733,1,0.9391,1.0,0.8991,1
Asian,2299.27,5122.43,1,0.5857,3.3,0,0,744,1,0.8376,0.0,,1
Indigenous,2327.87,7259.53,1,0.5938,2.23,0,0,703,1,0.9572,0.0,0.9323,1
White,1792.45,4440.33,1,0.7322,2.91,0,0,774,1,0.8847,2.0,0.9439,1
Other,1354.43,4342.93,1,0.6947,3.09,0,0,638,0,,,,1
White,1605.6,4102.23,1,0.9716,1.03,0,0,689,0,,,,1
White,697.05,2528.11,1,0.8019,0.8,0,0,614,0,,,,1
Other,2984.97,8159.16,1,0.7294,2.95,0,0,684,1,0.8681,0.0,,1
White,1558.27,4154.06,0,0.7243,2.88,0,0,652,1,0.9983,0.0,0.9371,1
White,1216.59,3928.1,1,0.7476,0.59,0,0,706,1,0.9453,0.0,,1
Asian,889.1,3440.68,1,0.6001,1.13,0,0,624,0,,,0.8133,1
White,1527.02,4841.06,1,0.7391,0.8,1,0,617,1,0.8363,1.0,0.9572,1
White,3778.4,9639.61,1,0.9116,2.03,0,0,709,1,0.8677,1.0,,1
White,3186.28,10820.92,1,0.791,1.82,1,0,665,0,,,0.9485,1
White,1208.19,2907.68,0,0.8814,0.33,0,0,618,0,,,0.8547,1
Black,1599.95,4593.31,0,0.494,2.04,0,0,639,1,0.9375,2.0,,1
